FID,pid,lat_PC,lon_PC,heading,pitch,roll,year,month,coord_X_pr,coord_Y_pr,svf,KR_PC_SVF,lon_,lat_,gsv_svf,lidar_svf,SVF_Center,SVF_Left,SVF_Right,Dist_Left,Dist_Right,Camera_Height,Offset_Left,Offset_Right
0,--lcF1s5AoWdyYNzV-4ROA,37.769559753,-122.3932131,267.757141113,88.7406692505,0.418866038322,2022,4,553440.790711,4180421.023, ,0.917776651256,-122.393213127,37.769559753,0.905702638626,0.940056025982,,0.8486607903539052,0.8500015014009201,,,0.6019662022590637,0.11842706799507141,0.11842706799507141
1,-0U7aDUehmzi1VHQ49HoEQ,37.7636584241,-122.5094438,96.8787002563,92.7117996216,0.257753670216,2022,3,543207.516951,4179706.23563, ,0.896428594093,-122.509443755,37.7636584241,0.878316926956,0.934360086918,,0.8135834490329801,0.8090264170517318,,,0.6374400854110718,0.09004795551300049,0.09004795551300049
2,--wI3lJ6LT-1hcArxPYgfQ,37.77236554,-122.4735736,96.1003341675,90.9305496216,1.23623549938,2023,4,546361.4975,4180689.452, ,0.664799114896,-122.473573583,37.7723655382,0.639111280441,0.685267031193,,0.46350387092831064,0.49080391452317046,,,0.8046286106109619,0.043702900409698486,0.043702900409698486
3,--6e_YPHRTmrHr3UVXg8uA,37.7751830187,-122.4595726,357.162139893,87.2807998657,0.435081005096,2023,1,547592.740427,4181009.08069, ,0.716599468281,-122.459572637,37.7751830187,0.706299734116,0.77040463686,,0.5553217129337418,0.5514359559508196,,,0.6071584224700928,0.11427327990531921,0.11427327990531921
4,-FoeD5n0-0X-FKkQUwXBAw,37.7557780923,-122.4232401,355.448364258,93.61181641,0.556199908257,2022,5,550805.668399,4178875.23144, ,0.748811698455,-122.423240066,37.7557780923,0.717222261429,0.742670655251,,0.5922897776153081,0.5918039103134297,,,0.6434291005134583,0.08525675535202026,0.08525675535202026
5,-3S5O20eKJa0jkElR4aimg,37.80432485,-122.4352776,350.413604736,89.5883178711,359.915649414,2022,6,549712.768268,4184254.99164, ,0.696687325932,-122.435277642,37.8043248514,0.654888534546,0.695296108723,,0.5160845356061642,0.4859108514205672,,,0.6135366559028625,0.10917070508003235,0.10917070508003235
6,-7Li3pC-ZvGVj-ZsaYGj0w,37.76362773,-122.4553929,262.27444458,98.6993484497,2.7010743618,2022,3,547968.299462,4179729.16862, ,0.689985235131,-122.455392859,37.7636277335,0.667348098755,0.587259471416,,0.4969615644864053,0.4952556800362057,,,0.7087545394897461,0.03299635648727417,0.03299635648727417
7,-0ulXNKEp3vx3nM6QEyyEA,37.7746238524,-122.4221362,81.2627868652,89.0439682,358.495574951,2022,6,550889.988586,4180966.75083, ,0.549939124263,-122.422136229,37.7746238524,0.495465707779,0.505072832108,,0.34278080379696785,0.3470712462927003,,,0.6983920931816101,0.041286349296569824,0.041286349296569824
8,-1FZYWgWvn8P-u-4WuTSLA,37.7082579968,-122.4323668,202.572738647,93.2014694214,359.223175049,2022,4,550033.671891,4173598.0368, ,0.712254512571,-122.432366792,37.7082579968,0.664803743362,0.763225197792,,0.5143629765212444,0.5398524537093391,,,0.6570855379104614,0.07433158159255981,0.07433158159255981
12,-2JXNzyR2BaecosYw3dmrQ,37.7688701954,-122.4534494,351.607666,89.3161315918,3.43313956261,2024,12,548136.078201,4180311.81242, ,0.683474296068,-122.45344942,37.7688701954,0.658348846436,0.808983981609,,0.5483109646708899,0.5423769824709753,,,0.715609073638916,0.027512729167938232,0.027512729167938232
13,-71BYnVA-Ewgt8vYRXnxIg,37.775177077,-122.3990627,224.86114502,90.0898284912,1.50848448277,2022,4,552921.60208,4181040.93562, ,0.741601754012,-122.399062672,37.775177077,0.714192771912,0.644328892231,,0.5921609763174268,0.5875416800463263,,,0.6449239253997803,0.08406084775924683,0.08406084775924683
14,-44XdnVzEcoaIHQcxfmtFQ,37.7788612288,-122.445459,261.027282715,90.065536499,0.88213968277,2022,6,548833.2503,4181424.45054, ,0.835221730759,-122.445458974,37.7788612288,0.796005582809,0.842648506165,,0.7395982330654427,0.7148268840070552,,,0.5328456163406372,0.1737235188484192,0.1737235188484192
15,-3VaU_gXNhBcqArWSfA5ww,37.7973643302,-122.4542187,41.9123764038,89.6129074097,0.257434010506,2023,1,548049.874607,4183472.81965, ,0.722991611008,-122.454218697,37.7973643302,0.692947292328,0.750655591488,,0.5618436026206219,0.5492184958198162,,,0.6687883138656616,0.06496936082839966,0.06496936082839966
16,-0lHxofPVLAoDosAT22iSw,37.808507832,-122.4120186,280.131500244,90.4345092773,359.817932129,2023,1,551757.372856,4184731.71828, ,0.755181175074,-122.412018573,37.808507832,0.713629817963,0.81233048439,,0.5771173726045127,0.5989269266515047,,,0.5789527893066406,0.13683778047561646,0.13683778047561646
17,-7EmOvAyff0vcFh7ESjD_g,37.73832537,-122.506502,353.145233154,89.801361084,1.09226453304,2022,5,543481.447073,4176896.93593, ,0.897086537006,-122.506501987,37.7383253681,0.882257890701,0.926661610603,,0.8330378886483091,0.8158803588418521,,,0.6043856143951416,0.11649152636528015,0.11649152636528015
18,-5p7-nsydbTwi8rFgbOZEA,37.7132620446,-122.4017583,42.4211578369,90.8987731934,0.568752229214,2023,1,552728.117995,4174170.01669, ,0.881178714478,-122.401758284,37.7132620446,0.856752490997,0.880042254925,,0.7859320598085111,0.7872543504903455,,,0.612982451915741,0.1096140444278717,0.1096140444278717
